iter	Passed	Remaining
406	5409	1236
407	5424	1223
408	5438	1210
409	5452	1196
410	5466	1183
411	5480	1170
412	5494	1157
413	5508	1144
414	5521	1131
415	5535	1117
416	5549	1104
417	5563	1091
418	5577	1078
419	5591	1065
420	5605	1051
421	5617	1038
422	5631	1025
423	5644	1011
424	5656	998
425	5670	985
426	5684	971
427	5697	958
428	5711	945
429	5725	932
430	5738	918
431	5751	905
432	5764	891
433	5778	878
434	5792	865
435	5806	852
436	5820	839
437	5835	826
438	5848	812
439	5861	799
440	5874	785
441	5889	772
442	5902	759
443	5916	746
444	5929	732
445	5943	719
446	5956	706
447	5971	693
448	5986	679
449	5999	666
450	6014	653
451	6027	640
452	6040	626
453	6054	613
454	6067	600
455	6081	586
456	6094	573
457	6109	560
458	6122	546
459	6136	533
460	6149	520
461	6163	506
462	6177	493
463	6191	480
464	6205	467
465	6218	453
466	6232	440
467	6245	427
468	6260	413
469	6273	400
470	6286	387
471	6301	373
472	6313	360
473	6327	347
474	6340	333
475	6354	320
476	6367	307
477	6381	293
478	6396	280
479	6409	267
480	6423	253
481	6435	240
482	6447	226
483	6462	213
484	6476	200
485	6490	186
486	6504	173
487	6518	160
488	6532	146
489	6547	133
490	6562	120
491	6575	106
492	6588	93
493	6601	80
494	6615	66
495	6630	53
496	6643	40
497	6655	26
498	6668	13
499	6682	0
