iter	Logloss
177	0.2481603088
178	0.247785965
179	0.2474872894
180	0.2468308868
181	0.2464949188
182	0.2461249237
183	0.2459031982
184	0.2455180359
185	0.2451707153
186	0.2448410645
187	0.2445073395
188	0.2439909363
189	0.2434841003
190	0.243151947
191	0.2427567139
192	0.2423910217
193	0.2419087524
194	0.2412560883
195	0.2409880981
196	0.2408017578
197	0.2405745239
198	0.2402379761
199	0.2400123901
200	0.2397161713
201	0.2394161835
202	0.2391853333
203	0.2389568787
204	0.238609848
205	0.2383746033
206	0.238090332
207	0.2377543793
208	0.2373939972
209	0.2371378479
210	0.2368982849
211	0.2365190735
212	0.2363125
213	0.2358829956
214	0.2356087952
215	0.2353342896
216	0.2351386108
217	0.2349104156
218	0.2345793762
219	0.2338612671
220	0.2335805817
221	0.2333408966
222	0.2328920288
223	0.2325406036
224	0.23209375
225	0.2317380219
226	0.2314927979
227	0.2312655945
228	0.2310635986
229	0.2308663788
230	0.2306544952
231	0.2303690796
232	0.2299033813
233	0.2297191315
234	0.229436554
235	0.2291195984
236	0.2288794403
237	0.2287226562
238	0.2285423584
239	0.2283334045
240	0.2278736572
241	0.2276802979
242	0.2271212769
243	0.2268085785
244	0.2264819946
245	0.2263100281
246	0.225973114
247	0.2256664734
248	0.2254849548
249	0.2250950012
250	0.2246541901
251	0.2243490601
252	0.224195755
253	0.2239594269
254	0.223724472
255	0.223437561
256	0.2230631409
257	0.2227990723
258	0.2225946045
259	0.222351944
260	0.2219638519
261	0.2216620941
262	0.2213261261
263	0.2210872498
264	0.220867981
265	0.220693573
266	0.2201880188
267	0.2197750244
268	0.2194269104
269	0.2191959229
270	0.2188466187
271	0.2187220612
272	0.2185639343
273	0.2183387909
274	0.2181088562
275	0.2178538513
276	0.2175900269
277	0.2173359375
278	0.216890976
279	0.2165046387
280	0.2162423096
281	0.2159265594
282	0.2155679779
283	0.2151995239
284	0.214877243
285	0.2144904785
286	0.2143291931
287	0.2141638184
288	0.2139765015
289	0.2136883545
290	0.2134227448
291	0.2131090393
292	0.212888443
293	0.2125797424
294	0.2121313477
295	0.2117856598
296	0.2115700684
297	0.21127771
298	0.2109189148
299	0.2106981201
300	0.2103600006
301	0.2101350098
302	0.2098646851
303	0.2094852905
304	0.2093181763
305	0.2092143707
306	0.2090603638
307	0.20881604
308	0.2087640076
309	0.2084355164
310	0.2080118713
311	0.2078719025
312	0.2075622711
313	0.2072914581
314	0.2071549072
315	0.207009903
316	0.2067789917
317	0.2064626617
318	0.2061855164
319	0.2060552063
320	0.2059034119
321	0.2057150421
322	0.205359314
323	0.2051338501
324	0.2049345093
325	0.204602356
326	0.2043442993
327	0.2040596924
328	0.2037518463
329	0.2034824982
330	0.2031207123
331	0.2029297028
332	0.2025998077
333	0.2022367096
334	0.202121521
335	0.2017926331
336	0.2016753845
337	0.2015799255
338	0.2015290527
339	0.2011331177
340	0.2009290161
341	0.200670105
342	0.2003351135
343	0.2001712952
344	0.1999028015
345	0.1997238464
346	0.1994239502
347	0.1992187805
348	0.199010437
349	0.1987249756
350	0.1984744568
351	0.1982891388
352	0.1981258698
353	0.1978010254
354	0.1976319275
355	0.1974955139
356	0.1970148315
357	0.1968065643
358	0.1965214386
359	0.1963032684
360	0.196055603
361	0.1957914124
362	0.1954888458
363	0.1954378662
364	0.1951936951
365	0.1949263153
366	0.1945978546
367	0.1943756561
368	0.1940426331
369	0.1938738403
370	0.1936950073
371	0.1934787292
372	0.1934257507
373	0.1932427368
374	0.192903717
375	0.1926678162
376	0.1924466705
377	0.1923142395
378	0.1922357025
379	0.1920239716
380	0.1918746948
381	0.1916468201
382	0.1913882751
383	0.1911194763
384	0.1907770233
385	0.1905933533
386	0.1903517303
387	0.1901803894
388	0.1899385071
389	0.1897189636
390	0.1894700623
391	0.189318634
392	0.1890410004
393	0.188589447
394	0.1884651642
395	0.1882056274
396	0.1879843903
397	0.1878513489
398	0.1876179504
399	0.187451004
400	0.1871907196
401	0.1868825684
402	0.1866836853
403	0.1864480133
404	0.1862493896
405	0.1860565033
406	0.1858898773
407	0.1855726624
408	0.1853594208
409	0.1852114563
410	0.1849593201
411	0.1846595459
412	0.1843276672
413	0.1841722412
414	0.1840072174
415	0.18381427
416	0.1834640503
417	0.1832357788
418	0.1830158386
419	0.1826148834
420	0.1823290405
421	0.1821703796
422	0.1819521179
423	0.1817365112
424	0.1815909729
425	0.1813634338
426	0.1811041565
427	0.1809047852
428	0.1804446411
429	0.1802618256
430	0.1800236206
431	0.1798676453
432	0.1797597656
433	0.179534317
434	0.1793345032
435	0.1791328125
436	0.1789498901
437	0.1787071838
438	0.178547287
439	0.1783387756
440	0.1781094208
441	0.1778235016
442	0.1777443542
443	0.1775689697
444	0.177468689
445	0.1771769562
446	0.1770611572
447	0.1768413391
448	0.1766515808
449	0.1764548035
450	0.1762059174
451	0.1761309509
452	0.1760359497
453	0.1758594666
454	0.175756546
455	0.1755072021
456	0.1752515869
457	0.1750978088
458	0.1749557495
459	0.17468927
460	0.1745217743
461	0.1742897339
462	0.1739888306
463	0.1738290863
464	0.173757019
465	0.1735366516
466	0.1734318542
467	0.1733009491
468	0.1731323242
469	0.1729096222
470	0.1726063385
471	0.1723109589
472	0.1721022186
473	0.1719064484
474	0.1718244324
475	0.1714707947
476	0.1712796936
477	0.1710780792
478	0.1709268188
479	0.1708275452
480	0.1706472168
481	0.1704968262
482	0.1704602661
483	0.1701756134
484	0.1698898621
485	0.1697141418
486	0.1694954071
487	0.169194397
488	0.169025528
489	0.1687357483
490	0.1683576508
491	0.1681667633
492	0.1680450134
493	0.1677810364
494	0.1675171509
495	0.1672050476
496	0.1669846039
497	0.1668027344
498	0.1666927185
499	0.1664767303
