iter	Logloss
0	0.6633822021
1	0.6422810059
2	0.6200874023
3	0.5964862061
4	0.5774834595
5	0.5640394897
6	0.5480031738
7	0.531831604
8	0.5166179199
9	0.5025460205
10	0.4916984253
11	0.4777168579
12	0.4699294128
13	0.4626383667
14	0.4523294067
15	0.444021759
16	0.4365576172
17	0.4279742737
18	0.4236251221
19	0.4177651062
20	0.4139038086
21	0.4094690247
22	0.402737915
23	0.3974336548
24	0.3931953735
25	0.3891524963
26	0.3851688843
27	0.3824599915
28	0.3796324463
29	0.3756046448
30	0.3710767822
31	0.3669525146
32	0.3629083252
33	0.3595961304
34	0.3576084595
35	0.3546975708
36	0.3525415649
37	0.3498570557
38	0.347962738
39	0.3464975891
40	0.345025238
41	0.3437334595
42	0.342592041
43	0.3407371826
44	0.3390229492
45	0.3379526367
46	0.3368215637
47	0.3347002563
48	0.3332247925
49	0.3320388794
50	0.3299914551
51	0.3283969727
52	0.3265509949
53	0.3246567078
54	0.3234612427
55	0.3217055969
56	0.3203121338
57	0.31882901
58	0.3175274658
59	0.3159793701
60	0.3143471069
61	0.3137559814
62	0.312902771
63	0.3114749756
64	0.310442688
65	0.3096151733
66	0.308292572
67	0.3072750244
68	0.3063817139
69	0.3057580872
70	0.3048652954
71	0.303666687
72	0.3029689941
73	0.3025632629
74	0.3015706787
75	0.3011324768
76	0.3005127563
77	0.2994389648
78	0.2982103882
79	0.2974555664
80	0.2969226685
81	0.2959758301
82	0.2953271484
83	0.2947587585
84	0.2937722778
85	0.2932548218
86	0.2924996033
87	0.2921809998
88	0.2914102478
89	0.2909885864
90	0.2903278809
91	0.2898504944
92	0.2893512573
93	0.2889386597
94	0.2885820923
95	0.2880845337
96	0.2873784485
97	0.2863543091
98	0.2855706177
99	0.2850689087
100	0.2846539001
101	0.2843290405
102	0.2838944702
103	0.283213501
104	0.2825280762
105	0.2818408508
106	0.2811325073
107	0.2805355835
108	0.280152771
109	0.2795273743
110	0.2788091736
111	0.2782825928
112	0.2778011169
113	0.2773916016
114	0.2765294495
115	0.2759645386
116	0.2752346802
117	0.2745541992
118	0.2740099792
119	0.2732485962
120	0.2725983582
121	0.2720346069
122	0.2716571655
123	0.2710913696
124	0.270855957
125	0.270579834
126	0.2700015869
127	0.2695249329
128	0.268921051
129	0.2683972778
130	0.2680036316
131	0.2676029358
132	0.2671212769
133	0.2664672546
134	0.2660159607
135	0.2653934021
136	0.265012085
137	0.2646531982
138	0.2642619629
139	0.2636640625
140	0.2630183716
141	0.2626625366
142	0.2623292847
143	0.2618372498
144	0.2613253174
145	0.2608956299
146	0.2605815735
147	0.2599674072
148	0.2596213684
149	0.2591084595
150	0.2585315857
151	0.258133667
152	0.2578682861
153	0.2574398804
154	0.256846344
155	0.2563323975
156	0.25593927
157	0.2557216797
158	0.2555254669
159	0.2552511444
160	0.2547654419
161	0.2541845703
162	0.2538230286
163	0.2535381775
164	0.2532138672
165	0.2527344055
166	0.2524678345
167	0.2521070557
168	0.2518617401
169	0.2514604492
170	0.251125
171	0.2505676117
172	0.2502294922
173	0.2497268677
174	0.2493066101
175	0.2490042572
176	0.2486237793
